"","state","age","cit","sex","educ","race","hisp","pwsswgt"
"44720",10,66,1,1,2,1,2,658.4179
"44721",10,67,1,2,2,1,2,722.9443
"44722",1,37,1,2,5,1,2,2628.253
"44723",6,80,1,2,5,1,2,3554.8728
"44724",1,41,1,1,6,1,2,2642.9034
"44725",1,41,1,2,5,1,2,2332.3193
"44726",1,54,1,1,5,1,2,2456.5491
"44727",1,50,1,2,6,1,2,2106.4356
"44728",1,28,1,2,3,1,2,2765.349
"44729",22,76,1,1,3,1,2,1570.9013
"44730",22,74,1,2,1,1,2,1770.5945
"44731",22,19,1,1,2,1,2,1843.7412
"44732",13,25,4,2,2,1,1,7559.8208
"44733",19,49,1,2,4,1,2,3225.4565
"44734",19,19,1,1,3,1,2,3282.3674
"44735",20,78,1,2,4,1,2,1841.9242
"44736",20,78,1,1,5,1,2,2220.6909
"44737",26,76,1,2,6,1,2,3948.3908
"44738",40,18,1,1,3,1,1,2612.305
"44739",40,18,1,1,1,1,1,2612.305
"44740",40,23,1,1,3,1,1,2293.3158
"44741",40,43,1,2,2,1,2,2272.553
"44742",40,44,1,1,2,1,2,2300.1403
"44743",21,34,1,2,4,1,2,4150.268
"44744",21,35,1,1,3,1,1,0
"44745",41,77,1,1,2,1,2,2062.6939
"44746",41,57,4,2,5,4,2,2023.7838
"44747",36,69,4,2,2,2,2,3636.3483
"44748",55,60,1,2,1,1,2,3695.4341
"44749",55,75,1,1,1,1,2,3204.6079
"44750",36,65,1,1,3,1,2,4097.8849
"44751",36,50,1,1,5,1,2,4336.6172
"44752",47,48,1,1,4,1,2,3462.7681
"44753",47,43,1,2,3,1,2,3639.5771
"44754",6,65,4,2,1,1,1,4552.3091
"44755",6,37,1,1,2,1,1,4382.9715
"44756",6,39,1,2,2,1,2,5468.631
"44757",5,76,1,1,1,1,2,1209.1687
"44758",5,68,1,2,1,1,2,1322.6479
"44759",5,42,1,2,2,1,2,917.8551
"44760",38,30,1,2,5,1,2,918.6315
"44761",38,33,1,1,5,1,2,603.5682
"44762",38,76,1,2,6,1,2,474.8146
"44763",39,24,1,1,3,1,2,3744.1905
"44764",39,24,1,2,2,1,2,4238.2968
"44765",39,75,1,1,2,1,2,3510.8917
"44766",17,73,4,2,4,1,2,3988.7874
"44767",17,70,4,1,3,1,2,4233.4397
"44768",17,43,1,2,4,1,2,4668.49
"44769",17,44,1,1,5,1,1,4164.3999
"44770",6,66,1,2,3,1,2,3492.2334
